gps,is_promoted,hash,title,brand,address,category,rating,description,img,img_big,no_image,phone,email,facebook,url,count_reviews,photos
"{""latitude"":9.634565,""longitude"":105.951076}",,2560417674602100,Khách sạn Ngọc Sương,,"Km 2127, Quốc lộ 1A, Xã An Hiệp, H. Châu Thành, T. Sóc Trăng",Khách sạn và chỗ ở,0,,//poipic3.coccoc.com/80x80/poi/previews/20130807/p1_137586006286597340e51558fd1c0ca01109454f4ee097.jpg,//poipic3.coccoc.com/1000x750/poi/previews/20130807/p1_137586006286597340e51558fd1c0ca01109454f4ee097.jpg,,,,,,0,[]
"{""latitude"":9.99780311,""longitude"":105.09191}",,1089266936600517,Cổng Tam Quan,,"Nguyễn Trung Trực, P. Vĩnh Lạc, Thành phố Rạch Giá, T. Kiên Giang",Thắng cảnh,0,,//poipic2.coccoc.com/80x80/poi/previews/20130730/p1_137515663387116c88acdefb65fd58ba5c78798f3d5aa6.jpg,//poipic2.coccoc.com/1000x750/poi/previews/20130730/p1_137515663387116c88acdefb65fd58ba5c78798f3d5aa6.jpg,,,,,,0,[]
"{""latitude"":9.99742055556,""longitude"":105.096839722}",,3632630575417459,Đại lý bảo hiểm Kiên Giang SVIC,,"396, Ngô Quyền, P. Vĩnh Lạc, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic1.coccoc.com/80x80/poi/previews/20120924/p1_1348454706998525ed9121148538e50931fb2df1fb5cd0.jpg,//poipic.coccoc.com/1000x750/poi/previews/20120924/p1_1348454706998525ed9121148538e50931fb2df1fb5cd0.jpg,,(84-77) 6 509 510; (84-94) 5 446 259,,http://facebook.com/shbank,http://shb.com.vn/,0,[]
"{""latitude"":9.99797277778,""longitude"":105.093745278}",,3493974496417476,Chi nhánh Kiên Giang - Công ty cổ phần bảo hiểm AAA,,"77-79, Lạc Hồng, P. Vĩnh Lạc, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic5.coccoc.com/80x80/poi/previews/20120924/p1_13484547079184f143fffbe257f951d368c81bdd53104e.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20120924/p1_13484547079184f143fffbe257f951d368c81bdd53104e.jpg,,(84-77) 3 941 633,,,http://aaa.com.vn/,0,[]
"{""latitude"":9.99780333333,""longitude"":105.096492778}",,4215139853417462,Công ty TNHH MTV thương mại dịch vụ Kiên Giang,,"390, Ngô Quyền, P. Vĩnh Lạc, Thành phố Rạch Giá, T. Kiên Giang",Tổ chức,0,,//poipic4.coccoc.com/80x80/poi/previews/20120924/p1_1348454707738581dcfe704b276fffa552d47eeade64d1.jpg,//poipic.coccoc.com/1000x750/poi/previews/20120924/p1_1348454707738581dcfe704b276fffa552d47eeade64d1.jpg,,(84-77) 3 868 069; (84-77) 3 870 391,,,,0,[]
"{""latitude"":9.99650388889,""longitude"":105.097146111}",,2869993137417340,Công ty TNHH MTV trừ mối & côn trùng Kiên Giang,,"5A, Đống Đa, P. Vĩnh Lạc, Thành phố Rạch Giá, T. Kiên Giang",Tổ chức,0,,//poipic5.coccoc.com/80x80/poi/previews/20120924/p1_1348454704925900a98654268913eec90c707ff2b9f112.jpg,//poipic6.coccoc.com/1000x750/poi/previews/20120924/p1_1348454704925900a98654268913eec90c707ff2b9f112.jpg,,(84-77) 3 941 556; (84-91) 8 989 361,,,,0,[]
"{""latitude"":9.997158,""longitude"":105.806363}",,872711066964556,Cầu Cái Sâu,,"Võ Nguyên Giáp, Q. Cái Răng, Tp. Cần Thơ",Du lịch,0,,//poipic2.coccoc.com/80x80/poi/previews/8.png,//poipic2.coccoc.com/1000x750/poi/previews/8.png,1,,,,,0,[]
"{""latitude"":9.26901333333,""longitude"":105.729492222}",,1356768485453894,Công ty TNHH MTV Hằng An Bạc Liêu,,"460A, Cao Văn Lầu, P. 2, Thành phố Bạc Liêu, T. Bạc Liêu",Dịch vụ,0,,//poipic6.coccoc.com/80x80/poi/previews/20121008/p1_13496913625415790f58b59a6483e2eae7fe7c2efd1539.jpg,//poipic.coccoc.com/1000x750/poi/previews/20121008/p1_13496913625415790f58b59a6483e2eae7fe7c2efd1539.jpg,,(84-781) 3 824 979,,,,0,[]
"{""latitude"":10.0011661111,""longitude"":105.084949167}",,3927689510417929,DNTN xây dựng giao thông thủy lợi Kiên Thành,,"A8-23, Chi Lăng, P. Vĩnh Bảo, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic6.coccoc.com/80x80/poi/previews/20120924/p1_134845566449310f3ad2db24cf21ec54c0648b4d9dc677.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20120924/p1_134845566449310f3ad2db24cf21ec54c0648b4d9dc677.jpg,,(84-77) 3 899 998; (84-91) 3 885 126,,,,0,[]
"{""latitude"":10.0010830556,""longitude"":105.084824444}",,2044935648417926,Công ty TNHH Phát Cường,,"26 A8, Chi Lăng, P. Vĩnh Bảo, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic5.coccoc.com/80x80/poi/previews/20120924/p1_134845566445145c180b776680acd07f07b13742fc268.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20120924/p1_134845566445145c180b776680acd07f07b13742fc268.jpg,,(84-77) 3 211 181; (84-77) 3 875 857,,,,0,[]
"{""latitude"":10.0013055556,""longitude"":105.082621944}",,296240743417887,Công ty CP tư vấn xây dựng Kiên Giang,,"Lô 45-50, A7, Đường 3/2, P. Vĩnh Bảo, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic3.coccoc.com/80x80/poi/previews/20120924/p1_13484556636664d66fc4c5fdd023357a1a2f7fe09a7b14.jpg,//poipic1.coccoc.com/1000x750/poi/previews/20120924/p1_13484556636664d66fc4c5fdd023357a1a2f7fe09a7b14.jpg,,(84-77) 3 924 206,,,,0,[]
"{""latitude"":10.0018772222,""longitude"":105.082425}",,3598058867417883,Công ty TNHH An Phát,,"A3-63, Đường 3/2, P. Vĩnh Bảo, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic1.coccoc.com/80x80/poi/previews/20120924/p1_13484556629828cb9595eb42eb705d9a6a989df19d75b.jpg,//poipic4.coccoc.com/1000x750/poi/previews/20120924/p1_13484556629828cb9595eb42eb705d9a6a989df19d75b.jpg,,(84-90) 8 070 863,,,,0,[]
"{""latitude"":10.0005911111,""longitude"":105.083512778}",,1335124850417880,Doanh nghiệp tư nhân xe khách Tuyết Hon,,"B3 31-32-33, Chi Lăng, P. Vĩnh Bảo, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic1.coccoc.com/80x80/poi/previews/20120924/p1_1348455662964387c78483206b133730bcd7fd3de70970.jpg,//poipic5.coccoc.com/1000x750/poi/previews/20120924/p1_1348455662964387c78483206b133730bcd7fd3de70970.jpg,,(84-77) 3 960 960; (84-77) 6 254 369,,,,0,[]
"{""latitude"":10.0007272222,""longitude"":105.083701389}",,2277711174417878,Công ty cổ phần xây dựng Kiên Giang,,"Lô B3, Chi Lăng, P. Vĩnh Lạc, Thành phố Rạch Giá, T. Kiên Giang",Dịch vụ,0,,//poipic6.coccoc.com/80x80/poi/previews/20120924/p1_134845566295439416672ca545f5ef869e584d880a1483.jpg,//poipic.coccoc.com/1000x750/poi/previews/20120924/p1_134845566295439416672ca545f5ef869e584d880a1483.jpg,,,,,,0,[]
